Date,Subways: Total Estimated Ridership,Subways: % of Comparable Pre-Pandemic Day,Buses: Total Estimated Ridership,Buses: % of Comparable Pre-Pandemic Day,LIRR: Total Estimated Ridership,LIRR: % of Comparable Pre-Pandemic Day,Metro-North: Total Estimated Ridership,Metro-North: % of Comparable Pre-Pandemic Day,Access-A-Ride: Total Scheduled Trips,Access-A-Ride: % of Comparable Pre-Pandemic Day,Bridges and Tunnels: Total Traffic,Bridges and Tunnels: % of Comparable Pre-Pandemic Day,Staten Island Railway: Total Estimated Ridership,Staten Island Railway: % of Comparable Pre-Pandemic Day
03/19/2023,,,,,82032,0.95,72936,0.77,16471,0.93,880371,1.09,,
03/18/2023,,,,,102021,0.95,101788,0.75,16828,0.99,924274,1.06,,
03/17/2023,,,,,199191,0.64,171443,0.62,28094,0.94,965113,1.05,,
03/16/2023,3946310,0.71,1323909,0.59,209838,0.67,187573,0.68,30151,1.01,976134,1.06,7553,0.47
03/15/2023,3907144,0.7,1445163,0.64,205092,0.65,187128,0.68,29687,1,916918,1,7246,0.45
03/14/2023,3573339,0.64,1337972,0.6,189402,0.6,159031,0.58,26262,0.88,775384,0.84,6681,0.42
03/13/2023,3352033,0.6,1365182,0.61,179787,0.57,157311,0.57,26027,0.88,852961,0.93,6357,0.4
03/12/2023,1773186,0.77,684269,0.69,75970,0.88,70404,0.75,16644,0.94,832873,1.03,1544,0.49
03/11/2023,2230109,0.73,819612,0.62,78979,0.73,88667,0.65,15493,0.91,842108,0.97,1796,0.35
03/10/2023,3501889,0.63,1405338,0.63,182873,0.58,160551,0.58,28209,0.95,964271,1.05,6135,0.38
03/09/2023,3827531,0.69,1512488,0.67,201711,0.64,186197,0.68,29847,1,944406,1.02,7208,0.45
03/08/2023,3842762,0.69,1512477,0.67,203258,0.65,186940,0.68,30476,1.02,918426,1,7452,0.47
03/07/2023,3773709,0.68,1489516,0.66,205559,0.66,186615,0.68,28417,0.96,887227,0.96,7607,0.48
03/06/2023,3426989,0.62,1460109,0.65,185896,0.59,163314,0.59,27550,0.93,875696,0.95,6849,0.43
03/05/2023,1772121,0.77,712408,0.72,81079,0.93,72918,0.77,16956,0.96,831376,1.03,1215,0.39
03/04/2023,2173217,0.71,870341,0.65,96720,0.9,84352,0.62,16263,0.96,844751,0.97,1449,0.29
03/03/2023,3481830,0.63,1417670,0.63,172623,0.55,150603,0.55,27298,0.92,933992,1.01,6167,0.39
03/02/2023,3765925,0.68,1493623,0.67,195243,0.62,176678,0.64,28978,0.97,934427,1.01,7434,0.47
03/01/2023,3780713,0.68,1511792,0.67,192142,0.61,176661,0.64,29449,0.99,901530,0.98,7403,0.46
02/28/2023,3412079,0.63,1349173,0.63,177532,0.59,139326,0.52,26116,0.89,751643,0.85,6690,0.41
02/27/2023,3337916,0.62,1423292,0.66,180277,0.6,160346,0.6,26730,0.91,854625,0.97,6752,0.42
02/26/2023,1625191,0.74,676041,0.69,74226,0.95,67702,0.74,15891,0.94,807475,1.07,1095,0.39
02/25/2023,2043635,0.71,800947,0.63,86403,0.92,81742,0.62,15461,0.95,831613,1,1396,0.33
02/24/2023,3246699,0.6,1246797,0.58,179793,0.59,153058,0.57,26077,0.89,928057,1.05,5551,0.34
02/23/2023,3498367,0.64,1328927,0.62,188438,0.62,167193,0.62,27336,0.93,906322,1.03,6695,0.41
02/22/2023,3454362,0.64,1305744,0.61,193753,0.64,171187,0.64,27895,0.95,869960,0.98,6538,0.4
02/21/2023,3325542,0.61,1273578,0.59,194967,0.64,174283,0.65,27224,0.93,864047,0.98,6525,0.4
02/20/2023,2238557,1.02,929439,0.95,90371,1.16,79984,0.88,14818,0.5,809578,1.07,1547,0.55
02/19/2023,1824136,0.83,639980,0.66,75448,0.97,75064,0.82,16165,0.96,784650,1.04,959,0.34
02/18/2023,2271106,0.79,822505,0.65,91478,0.98,93213,0.71,15612,0.96,860646,1.03,1266,0.3
02/17/2023,3253165,0.6,1315466,0.61,172113,0.57,150151,0.56,26759,0.91,936689,1.06,5892,0.36
02/16/2023,3683782,0.68,1461093,0.68,189802,0.63,172190,0.64,28364,0.96,915758,1.04,7318,0.45
02/15/2023,3762817,0.69,1499155,0.7,197344,0.65,181992,0.68,29119,0.99,904926,1.02,7491,0.46
02/14/2023,3812943,0.7,1480867,0.69,200327,0.66,179811,0.67,29001,0.99,897813,1.02,7557,0.47
02/13/2023,3303337,0.61,1381524,0.64,180002,0.59,159742,0.59,25900,0.88,854394,0.97,6188,0.38
02/12/2023,1746099,0.8,659496,0.68,67457,0.86,63383,0.69,16305,0.97,749533,0.99,1227,0.44
02/11/2023,2333625,0.81,865782,0.68,94434,1.01,88281,0.67,16638,1.02,865505,1.04,1615,0.38
02/10/2023,3539529,0.65,1422781,0.66,179637,0.59,154760,0.57,28094,0.95,947991,1.07,6477,0.4
02/09/2023,3754859,0.69,1462622,0.68,193326,0.64,172508,0.64,28515,0.97,909007,1.03,7403,0.46
02/08/2023,3780682,0.7,1513135,0.7,197370,0.65,180852,0.67,29653,1.01,884755,1,7647,0.47
02/07/2023,3738539,0.69,1491417,0.69,201438,0.67,183389,0.68,28688,0.97,867827,0.98,7736,0.48
02/06/2023,3372445,0.62,1431232,0.67,181320,0.6,157813,0.59,26639,0.91,849008,0.96,7068,0.44
02/05/2023,1625375,0.74,650623,0.67,69379,0.89,62640,0.69,15413,0.91,758529,1.01,1522,0.54
02/04/2023,1742435,0.61,598818,0.47,69433,0.74,64032,0.49,13439,0.83,737000,0.89,1555,0.36
02/03/2023,3189550,0.59,1246821,0.58,158579,0.52,135908,0.5,26238,0.89,887417,1,5819,0.36
02/02/2023,3699932,0.68,1478477,0.69,187799,0.62,169864,0.63,27917,0.95,894790,1.01,7457,0.46
02/01/2023,3682758,0.68,1460146,0.68,184043,0.61,169846,0.63,28492,0.97,868518,0.98,7588,0.47
01/31/2023,3654404,0.71,1365926,0.67,198755,0.66,183485,0.68,27308,0.97,852930,0.98,7593,0.46
01/30/2023,3223530,0.63,1371537,0.67,180476,0.6,159176,0.59,25676,0.91,850406,0.98,6624,0.4
01/29/2023,1637398,0.78,647923,0.71,73109,0.88,65422,0.72,15371,1.14,764625,1.12,1694,0.62
01/28/2023,2248107,0.83,861680,0.72,98609,1.01,89845,0.69,15577,1.07,841863,1.1,2333,0.57
01/27/2023,3335372,0.65,1341589,0.66,178881,0.59,149763,0.56,26826,0.95,920095,1.06,6051,0.37
01/26/2023,3629029,0.71,1408545,0.69,190219,0.63,173696,0.65,27061,0.96,890830,1.03,7093,0.43
01/25/2023,3511071,0.68,1342717,0.66,188247,0.62,171748,0.64,26738,0.95,815210,0.94,6937,0.42
01/24/2023,3566756,0.69,1410676,0.69,196319,0.65,182127,0.68,27701,0.98,863886,0.99,7335,0.45
01/23/2023,3135214,0.61,1281037,0.63,172927,0.57,155439,0.58,25087,0.89,809261,0.93,6210,0.38
01/22/2023,1593386,0.76,611151,0.67,64883,0.78,61728,0.68,14721,1.09,744230,1.09,1479,0.54
01/21/2023,2137169,0.79,823236,0.69,88435,0.91,84763,0.65,15580,1.07,826850,1.08,2058,0.5
01/20/2023,3375887,0.66,1383181,0.68,173943,0.58,150003,0.56,26548,0.94,915022,1.05,6192,0.38
01/19/2023,3492226,0.68,1327804,0.65,179752,0.59,170122,0.63,26737,0.95,862336,0.99,6925,0.42
01/18/2023,3603344,0.7,1449590,0.71,198264,0.66,182209,0.68,29223,1.03,877542,1.01,7488,0.46
01/17/2023,3451604,0.67,1399573,0.68,193345,0.64,183675,0.68,27214,0.96,870650,1,7492,0.46
01/16/2023,2172218,1.04,884152,0.96,82416,1,75892,0.84,14617,0.52,812347,1.19,3140,1.15
01/15/2023,1705804,0.82,621041,0.68,72479,0.88,70493,0.78,15198,1.13,757778,1.11,1510,0.55
01/14/2023,2072387,0.77,785952,0.66,84718,0.87,83565,0.64,15407,1.06,817979,1.07,2059,0.5
01/13/2023,3270020,0.64,1345748,0.66,167475,0.55,147885,0.55,26085,0.92,922864,1.06,6042,0.37
01/12/2023,3472709,0.68,1364715,0.67,188850,0.62,168701,0.63,27119,0.96,881579,1.01,7150,0.44
01/11/2023,3508962,0.68,1421914,0.69,188904,0.63,174350,0.65,27991,0.99,864282,0.99,7166,0.44
01/10/2023,3469177,0.67,1412543,0.69,196817,0.65,179531,0.67,27309,0.97,859974,0.99,7414,0.45
01/09/2023,3145743,0.61,1353638,0.66,173594,0.57,157335,0.58,24923,0.88,829372,0.95,6629,0.4
01/08/2023,1610764,0.77,628612,0.68,68647,0.83,64894,0.72,15157,1.12,739656,1.08,1529,0.56
01/07/2023,2116138,0.78,806981,0.67,87215,0.9,85244,0.66,14828,1.02,808570,1.06,2297,0.56
01/06/2023,3229858,0.63,1319595,0.64,161259,0.53,142525,0.53,25824,0.91,873654,1.01,6050,0.37
01/05/2023,3428520,0.67,1378698,0.67,175278,0.58,166642,0.62,26808,0.95,859218,0.99,7042,0.43
01/04/2023,3413052,0.66,1391449,0.68,182834,0.61,170847,0.63,26848,0.95,839120,0.97,7282,0.44
01/03/2023,3175777,0.62,1268913,0.62,179109,0.59,167136,0.62,24868,0.88,815532,0.94,6853,0.42
01/02/2023,1938154,0.93,739507,0.81,76247,0.92,72404,0.8,10136,0.36,692984,1.02,2671,0.98
01/01/2023,1675507,0.8,475226,0.52,67722,0.82,66309,0.73,11476,0.85,737533,1.08,1771,0.65
12/31/2022,1927101,0.58,651474,0.51,81590,0.64,81198,0.52,14090,0.82,686434,0.78,1847,0.37
12/30/2022,3063480,0.57,1087122,0.54,193989,0.61,176215,0.63,22951,0.79,926881,1.05,5338,0.34
12/29/2022,3039432,0.57,1099513,0.55,189075,0.6,167129,0.6,23200,0.8,916565,1.03,5597,0.36
12/28/2022,2947028,0.55,1088279,0.54,182226,0.58,163499,0.59,23571,0.81,891790,1.01,5407,0.35
12/27/2022,2729514,0.51,1027687,0.51,178880,0.57,156503,0.56,21363,0.73,881989,1,5228,0.34
12/26/2022,1812842,0.71,644828,0.66,87401,0.82,89137,0.83,9327,0.32,764686,0.96,2214,0.65
12/25/2022,1008452,0.4,321245,0.33,51896,0.49,47454,0.44,13709,0.77,730783,0.92,1005,0.3
12/24/2022,1411469,0.43,497129,0.39,61701,0.48,60373,0.38,12759,0.74,746316,0.84,1304,0.26
12/23/2022,2738016,0.51,1057686,0.53,163716,0.52,138857,0.5,20359,0.7,812831,0.92,4523,0.29
12/22/2022,3187083,0.6,1269330,0.63,177675,0.56,147366,0.53,25244,0.87,936662,1.06,5728,0.37
12/21/2022,3563236,0.67,1393290,0.7,191684,0.61,168379,0.6,28480,0.98,953676,1.08,6993,0.45
12/20/2022,3586084,0.67,1398728,0.7,191991,0.61,173346,0.62,27148,0.93,923333,1.04,7046,0.45
12/19/2022,3381411,0.63,1352455,0.68,178278,0.56,159383,0.57,25529,0.88,886717,1,6591,0.42
12/18/2022,1967199,0.77,668994,0.68,87146,0.82,87425,0.81,16036,0.9,842911,1.06,1487,0.44
12/17/2022,2577771,0.78,884283,0.7,114272,0.89,123286,0.78,16788,0.97,933667,1.06,2071,0.42
12/16/2022,3270016,0.61,1221634,0.61,170615,0.54,151244,0.54,24074,0.83,917332,1.04,5823,0.37
12/15/2022,3726154,0.7,1363160,0.68,191261,0.61,173709,0.62,27034,0.93,931870,1.05,7001,0.45
12/14/2022,3777173,0.71,1435020,0.72,196921,0.62,183484,0.66,29081,1,940858,1.06,7400,0.47
12/13/2022,3763568,0.7,1437228,0.72,197613,0.63,183214,0.66,28234,0.97,908198,1.03,7570,0.49
12/12/2022,3466978,0.65,1384864,0.69,182973,0.58,163516,0.59,25771,0.88,876300,0.99,6838,0.44
12/11/2022,1865579,0.73,618870,0.63,77607,0.73,74273,0.69,14949,0.84,777867,0.98,1103,0.32
12/10/2022,2663493,0.8,869320,0.69,112142,0.88,119858,0.76,16232,0.94,900034,1.02,1873,0.38
12/09/2022,3710928,0.69,1386473,0.69,185104,0.59,165147,0.59,26213,0.9,964167,1.09,6379,0.41
12/08/2022,3931499,0.74,1480877,0.74,192958,0.61,182314,0.65,28292,0.97,948091,1.07,7541,0.48
12/07/2022,3835333,0.72,1442871,0.72,194436,0.62,178345,0.64,27941,0.96,899007,1.01,7526,0.48
12/06/2022,3753299,0.7,1414979,0.71,195892,0.62,178862,0.64,27305,0.94,878388,0.99,7447,0.48
12/05/2022,3481640,0.65,1429308,0.71,183238,0.58,164873,0.59,26409,0.91,873767,0.99,7013,0.45
12/04/2022,1990479,0.78,681713,0.7,81381,0.76,80173,0.75,15763,0.88,804122,1.01,1266,0.37
12/03/2022,2291687,0.69,760109,0.6,87730,0.68,89976,0.57,15540,0.9,815868,0.92,1467,0.3
12/02/2022,3600504,0.67,1395642,0.7,172860,0.55,152746,0.55,27007,0.93,933219,1.05,6576,0.42
12/01/2022,3770495,0.71,1459934,0.73,181825,0.58,166856,0.6,27018,0.93,931376,1.05,7538,0.48
11/30/2022,3568413,0.63,1356729,0.62,189152,0.58,177367,0.62,26469,0.85,857882,0.91,7204,0.42
11/29/2022,3596894,0.64,1455294,0.66,192494,0.59,181370,0.63,27009,0.87,891057,0.94,7510,0.44
11/28/2022,3265971,0.58,1397963,0.64,186710,0.57,163694,0.57,24969,0.8,904337,0.96,7120,0.42
11/27/2022,1476228,0.59,562073,0.56,79973,0.85,76680,0.74,13063,0.69,814703,0.99,1408,0.46
11/26/2022,1999608,0.63,781665,0.59,105304,0.91,106685,0.71,12576,0.74,852829,0.94,2286,0.66
11/25/2022,2058658,0.82,842892,0.85,163354,1.73,148368,1.43,12834,0.41,766290,0.93,3361,1.1
11/24/2022,1382266,0.55,515903,0.52,90771,0.96,90057,0.86,18369,0.59,859064,1.04,2006,0.65
11/23/2022,3263998,0.58,1358016,0.62,210438,0.64,184135,0.64,25032,0.8,983719,1.04,6862,0.4
11/22/2022,3548882,0.63,1447618,0.66,200264,0.61,183771,0.64,27957,0.9,982740,1.04,7462,0.44
11/21/2022,3363626,0.6,1393031,0.64,185570,0.57,166517,0.58,25766,0.83,896487,0.95,7017,0.41
11/20/2022,1721187,0.68,645986,0.65,74524,0.79,74870,0.72,15556,0.83,830876,1.01,1079,0.35
11/19/2022,2323449,0.74,864766,0.66,97654,0.85,101076,0.67,16076,0.95,929687,1.02,1630,0.47
11/18/2022,3539202,0.63,1412974,0.65,183576,0.56,161777,0.57,27236,0.87,981421,1.04,6546,0.38
11/17/2022,3797815,0.67,1493119,0.68,193797,0.59,178147,0.62,28778,0.92,962670,1.02,7633,0.45
11/16/2022,3751773,0.67,1484607,0.68,194893,0.59,179233,0.63,28574,0.92,912685,0.97,7589,0.45
11/15/2022,3713627,0.66,1483782,0.68,196179,0.6,182790,0.64,28155,0.9,903257,0.96,7776,0.46
11/14/2022,3401075,0.6,1441705,0.66,181582,0.55,165573,0.58,25728,0.82,889804,0.94,7135,0.42
11/13/2022,1794024,0.71,662034,0.66,76869,0.81,76460,0.73,15544,0.83,859975,1.04,1658,0.54
11/12/2022,2431419,0.77,893837,0.68,94911,0.82,106101,0.7,15153,0.89,889070,0.98,2262,0.65
11/11/2022,2994708,1.19,1077574,1.08,172756,1.83,154511,1.48,20634,0.66,870209,1.06,4558,1.49
11/10/2022,3802230,0.67,1516812,0.69,203722,0.62,180584,0.63,28385,0.91,976695,1.04,7749,0.46
11/09/2022,3772030,0.67,1517250,0.69,199030,0.61,180581,0.63,28589,0.92,921392,0.98,7722,0.45
11/08/2022,3431700,0.61,1356894,0.62,201028,0.61,183142,0.64,25939,0.83,888462,0.94,6463,0.38
11/07/2022,3456868,0.61,1478731,0.68,190295,0.58,168401,0.59,26193,0.84,901997,0.96,7365,0.43
11/06/2022,2116063,0.84,648085,0.65,92648,0.98,94517,0.91,13926,0.74,779295,0.95,3122,1.02
11/05/2022,2449943,0.78,918127,0.7,96845,0.84,110793,0.73,16790,0.99,940206,1.03,2628,0.76
11/04/2022,3586358,0.64,1459619,0.67,180084,0.55,161378,0.56,27340,0.88,975347,1.03,6813,0.4
11/03/2022,3802455,0.67,1521975,0.7,197940,0.6,178498,0.62,28364,0.91,941513,1,7676,0.45
11/02/2022,3788123,0.67,1549724,0.71,198277,0.6,181158,0.63,28493,0.91,918835,0.97,7788,0.46
11/01/2022,3706707,0.66,1501329,0.69,196102,0.6,178425,0.62,26993,0.86,911552,0.97,7756,0.46
10/31/2022,3410892,0.59,1394453,0.62,177547,0.56,157055,0.54,24178,0.81,862337,0.93,6759,0.38
10/30/2022,1875953,0.76,711004,0.71,69358,0.76,80576,0.77,15324,0.83,903170,1.07,5,0
10/29/2022,2440601,0.73,912721,0.66,86888,0.77,102975,0.68,15778,0.89,949043,1,42,0.01
10/28/2022,3624748,0.63,1455834,0.65,179633,0.57,159109,0.55,26237,0.88,992291,1.07,6647,0.37
10/27/2022,3892985,0.68,1543031,0.68,196789,0.63,179032,0.62,28035,0.94,971657,1.05,7848,0.44
10/26/2022,3794534,0.66,1539557,0.68,201843,0.64,181254,0.62,27891,0.94,932571,1,7978,0.45
10/25/2022,3712582,0.65,1512725,0.67,200671,0.64,183507,0.63,27080,0.91,903935,0.97,7864,0.44
10/24/2022,3357840,0.58,1432728,0.64,182390,0.58,161772,0.56,24643,0.83,887372,0.96,6929,0.39
10/23/2022,1740520,0.71,668183,0.67,76024,0.83,83665,0.8,14434,0.79,872119,1.03,19,0.01
10/22/2022,2430406,0.73,916539,0.66,97921,0.86,122863,0.81,15832,0.9,970862,1.03,90,0.02
10/21/2022,3570334,0.62,1452280,0.64,185797,0.59,166539,0.57,26385,0.89,997993,1.08,6848,0.38
10/20/2022,3810901,0.66,1532692,0.68,201886,0.64,180234,0.62,27649,0.93,970479,1.05,7784,0.44
10/19/2022,3814404,0.66,1545140,0.69,202921,0.65,185202,0.64,28002,0.94,916246,0.99,7934,0.44
10/18/2022,3693627,0.64,1510826,0.67,199026,0.63,191540,0.66,26135,0.88,894481,0.96,7917,0.44
10/17/2022,3314497,0.58,1430672,0.63,182855,0.58,170716,0.59,24045,0.81,860596,0.93,6952,0.39
10/16/2022,1773903,0.72,705073,0.7,80395,0.88,85438,0.81,15338,0.84,898969,1.06,1385,0.37
10/15/2022,2363501,0.71,914771,0.66,100804,0.89,108230,0.71,15945,0.9,964859,1.02,1897,0.42
10/14/2022,3578772,0.62,1468602,0.65,186594,0.59,170188,0.59,26877,0.9,1000719,1.08,6877,0.39
10/13/2022,3682799,0.64,1463795,0.65,195360,0.62,173174,0.6,26422,0.89,935038,1.01,7593,0.43
10/12/2022,3776129,0.66,1554226,0.69,203866,0.65,185488,0.64,28193,0.95,945786,1.02,7820,0.44
10/11/2022,3649405,0.63,1521587,0.68,203885,0.65,192887,0.66,26435,0.89,899509,0.97,7841,0.44
10/10/2022,2556722,0.44,1034288,0.46,163310,0.52,152488,0.52,17806,0.6,845129,0.91,4220,0.24
10/09/2022,1917721,0.78,691656,0.69,97984,1.08,88783,0.84,14776,0.8,911141,1.08,2200,0.58
10/08/2022,2397249,0.72,888506,0.64,114687,1.01,110122,0.72,15448,0.87,965140,1.02,1975,0.43
10/07/2022,3591080,0.62,1480214,0.66,204261,0.65,166955,0.57,26725,0.9,1018633,1.1,6865,0.38
10/06/2022,3848909,0.67,1554806,0.69,203783,0.65,182247,0.63,28527,0.96,981805,1.06,7907,0.44
10/05/2022,3077346,0.54,1206674,0.54,176091,0.56,158117,0.54,24305,0.82,816200,0.88,6012,0.34
10/04/2022,3397689,0.59,1354099,0.6,181887,0.58,166868,0.57,25282,0.85,833631,0.9,6825,0.38
10/03/2022,3370048,0.59,1426633,0.63,173268,0.55,153913,0.53,25390,0.85,880633,0.95,6824,0.38
10/02/2022,1621851,0.66,591909,0.59,61918,0.68,68450,0.65,13897,0.76,793492,0.94,1302,0.34
10/01/2022,2032983,0.61,758826,0.55,72081,0.64,80394,0.53,13718,0.78,820869,0.87,1855,0.41
09/30/2022,3503239,0.61,1477082,0.64,181549,0.55,164028,0.57,26614,0.9,997765,1.05,6623,0.39
09/29/2022,3707751,0.64,1503472,0.65,194288,0.59,173138,0.6,26857,0.9,960265,1.01,7738,0.45
09/28/2022,3712354,0.64,1541900,0.66,201525,0.62,179234,0.62,27423,0.92,930967,0.98,7903,0.46
09/27/2022,3204114,0.56,1290217,0.56,192275,0.59,176941,0.61,24344,0.82,886658,0.93,6744,0.39
09/26/2022,2812853,0.49,1206954,0.52,177235,0.54,153930,0.53,21532,0.73,868980,0.91,5848,0.34
09/25/2022,1759832,0.69,660871,0.6,81212,0.82,87366,0.83,14770,0.86,861534,0.97,1582,0.54
09/24/2022,2377091,0.74,860948,0.61,98192,0.83,115822,0.76,15593,0.91,944900,0.99,1975,0.48
09/23/2022,3626482,0.63,1413234,0.61,190670,0.58,168866,0.59,25738,0.87,981726,1.03,6902,0.4
09/22/2022,3732919,0.65,1433737,0.62,190703,0.58,174952,0.61,26136,0.88,938754,0.99,7883,0.46
09/21/2022,3878782,0.67,1543632,0.66,204572,0.62,188361,0.65,27479,0.93,946181,0.99,8112,0.47
09/20/2022,3767024,0.65,1554448,0.67,203873,0.62,188771,0.65,26148,0.88,930442,0.98,7962,0.47
09/19/2022,3369999,0.58,1490926,0.64,187831,0.57,164392,0.57,24491,0.82,909943,0.96,7155,0.42
09/18/2022,1844317,0.72,712161,0.65,86329,0.87,79158,0.75,15588,0.91,935291,1.06,1944,0.66
09/17/2022,2350888,0.73,916215,0.65,99403,0.84,101734,0.67,15828,0.92,971118,1.02,2693,0.65
09/16/2022,3502358,0.61,1501956,0.65,184424,0.56,155750,0.54,26025,0.88,1015255,1.07,6797,0.4
09/15/2022,3747731,0.65,1573907,0.68,197284,0.6,175672,0.61,27391,0.92,981703,1.03,7725,0.45
09/14/2022,3741978,0.65,1590666,0.68,202713,0.62,181619,0.63,28124,0.95,954907,1,7740,0.45
09/13/2022,3618354,0.63,1557686,0.67,200171,0.61,180183,0.62,26317,0.89,921108,0.97,7552,0.44
09/12/2022,3382150,0.59,1519324,0.65,187548,0.57,163430,0.57,24947,0.84,925590,0.97,6863,0.4
09/11/2022,1737251,0.68,659929,0.6,82638,0.83,72789,0.69,14467,0.84,862493,0.97,1275,0.44
09/10/2022,2356865,0.73,914744,0.65,103789,0.88,98043,0.64,15345,0.9,982329,1.03,1948,0.47
09/09/2022,3481756,0.6,1492297,0.64,189930,0.58,161197,0.56,25627,0.86,1009058,1.06,6432,0.38
09/08/2022,3644407,0.63,1517502,0.65,199489,0.61,178788,0.62,27121,0.91,966189,1.01,7185,0.42
09/07/2022,3444556,0.6,1412342,0.61,203983,0.62,179628,0.62,26773,0.9,939358,0.99,6698,0.39
09/06/2022,3063503,0.53,1231759,0.53,190260,0.58,164255,0.57,24963,0.84,892569,0.94,6016,0.35
09/05/2022,1691887,0.66,682671,0.62,93198,0.94,74585,0.71,9722,0.33,801463,0.91,1977,0.68
09/04/2022,1802349,0.71,701646,0.64,97728,0.98,77386,0.74,15428,0.9,901892,1.02,1894,0.65
09/03/2022,2116811,0.66,867750,0.62,116405,0.98,94997,0.62,15863,0.93,924383,0.97,2455,0.59
09/02/2022,2925306,0.51,1250956,0.54,185153,0.57,138009,0.48,24696,0.83,1006354,1.06,5307,0.31
09/01/2022,3114667,0.54,1338287,0.58,186311,0.57,140082,0.49,25382,0.85,997846,1.05,6189,0.36
08/31/2022,3144027,0.61,1342568,0.67,197154,0.63,149499,0.55,25541,0.91,972327,1,6261,0.47
08/30/2022,3091873,0.6,1326293,0.66,195986,0.63,152025,0.56,24300,0.87,934163,0.96,6228,0.47
08/29/2022,2836374,0.55,1263000,0.63,180588,0.58,140540,0.52,22503,0.81,927114,0.95,5705,0.43
08/28/2022,1651689,0.69,681823,0.62,86867,0.83,76296,0.73,14506,0.81,940460,1.02,1816,0.51
08/27/2022,2066542,0.7,874084,0.64,103192,0.77,90006,0.59,15575,0.94,977708,1.02,2214,0.47
08/26/2022,2863653,0.56,1217448,0.6,171765,0.55,133306,0.49,23417,0.84,967932,1,4969,0.37
08/25/2022,3090901,0.6,1310134,0.65,177178,0.57,142659,0.52,24964,0.89,981024,1.01,6122,0.46
08/24/2022,3020710,0.59,1288092,0.64,177790,0.57,151169,0.55,25654,0.92,946975,0.97,6036,0.45
08/23/2022,2992615,0.58,1261782,0.63,173898,0.56,155953,0.57,24448,0.88,921483,0.95,5903,0.44
08/22/2022,2622885,0.51,1144254,0.57,160918,0.51,141482,0.52,21887,0.78,884589,0.91,5185,0.39
08/21/2022,1619422,0.68,692309,0.63,84669,0.81,81666,0.79,14617,0.81,918196,1,1272,0.35
08/20/2022,2038622,0.69,875371,0.64,96552,0.72,97718,0.64,15903,0.96,952947,0.99,1699,0.36
08/19/2022,2918737,0.57,1239929,0.61,164682,0.53,141791,0.52,24141,0.86,995590,1.02,5132,0.38
08/18/2022,3077928,0.6,1283965,0.64,181136,0.58,150643,0.55,25701,0.92,982598,1.01,5834,0.44
08/17/2022,3074027,0.6,1284966,0.64,172248,0.55,155815,0.57,25904,0.93,935484,0.96,6080,0.45
08/16/2022,3045892,0.59,1288800,0.64,173651,0.56,157888,0.58,24994,0.89,919835,0.95,6228,0.47
08/15/2022,2768347,0.54,1234308,0.61,161519,0.52,144170,0.53,23199,0.83,921408,0.95,5395,0.4
08/14/2022,1677803,0.7,692644,0.63,88242,0.85,72900,0.7,14492,0.81,931953,1.01,1339,0.37
08/13/2022,2089217,0.71,878499,0.64,103227,0.77,89569,0.59,15889,0.96,953867,1,1632,0.35
08/12/2022,2963913,0.58,1273620,0.63,175220,0.56,137578,0.5,24849,0.89,996504,1.03,5422,0.41
08/11/2022,3093548,0.6,1315101,0.65,171390,0.55,146019,0.54,25553,0.91,966856,0.99,5842,0.44
08/10/2022,3134434,0.61,1347916,0.67,178656,0.57,147931,0.54,26098,0.93,948711,0.98,6117,0.46
08/09/2022,3013784,0.59,1308034,0.65,173284,0.55,151624,0.56,25056,0.9,922400,0.95,5935,0.44
08/08/2022,2705428,0.53,1276524,0.63,165363,0.53,137457,0.5,22965,0.82,926426,0.95,5496,0.41
08/07/2022,1542311,0.65,670866,0.61,78449,0.75,66242,0.64,14367,0.8,882525,0.96,153,0.04
08/06/2022,1999580,0.68,865676,0.63,95704,0.72,84495,0.56,14893,0.9,944842,0.99,33,0.01
08/05/2022,2822155,0.55,1260961,0.62,161323,0.52,129376,0.47,23824,0.85,976443,1,4754,0.36
08/04/2022,3049076,0.59,1323229,0.66,174491,0.56,147770,0.54,25326,0.91,976459,1,5409,0.4
08/03/2022,3124038,0.61,1367848,0.68,173751,0.56,158305,0.58,26785,0.96,947338,0.97,6170,0.46
08/02/2022,3070101,0.6,1346324,0.67,173023,0.55,158236,0.58,24865,0.89,919127,0.95,6452,0.48
08/01/2022,2739262,0.53,1240007,0.61,151752,0.49,138431,0.51,22892,0.82,904119,0.93,5673,0.42
07/31/2022,1649097,0.71,693700,0.63,77991,0.74,78953,0.74,14046,0.85,929822,1.05,3,0
07/30/2022,2074421,0.73,893846,0.66,89426,0.7,96840,0.63,15068,0.95,954809,1.03,56,0.01
07/29/2022,2932846,0.56,1260714,0.61,166723,0.53,147568,0.52,23697,0.84,979719,1.02,5532,0.4
07/28/2022,3151913,0.6,1332113,0.64,173264,0.55,156936,0.55,24413,0.86,974290,1.01,6421,0.47
07/27/2022,3232796,0.61,1369023,0.66,185332,0.59,161241,0.57,25759,0.91,957557,1,6667,0.48
07/26/2022,3175001,0.6,1360570,0.66,186182,0.59,162994,0.58,24990,0.88,942025,0.98,6479,0.47
07/25/2022,2727722,0.52,1220826,0.59,163454,0.52,140432,0.5,22355,0.79,893016,0.93,5692,0.41
07/24/2022,1596195,0.68,674189,0.61,82656,0.79,68265,0.64,12751,0.77,908767,1.03,6,0
